정류소명, 코드, 단축코드
한국경제신문사.서소문역사공원,101000017,2109
경찰청.동북아역사재단,101000018,2110
서대문경찰서.농협은행.유관순활동터,101000020,2113
염천교,101000021,2116
숭례문,101000022,2117
숭례문.한국일보,101000023,2118
후암삼거리,101000025,2120
숭례문,101000026,2121
숭례문,101000027,2122
숭례문,101000028,2123
남대문시장악세사리전문상가,101000029,2124
숭례문남산방향,101000030,2125
남대문시장,101000031,2126
북창동.남대문시장,101000032,2127
시청앞,101000033,2128
삼성본관앞,101000034,2131
시청앞,101000035,2132
서소문,101000036,2133
서소문,101000037,2134
서울신문사,101000039,2137
우리은행종로지점,101000040,2139
롯데백화점,101000041,2140
해운센터.롯데영프라자,101000042,2141
롯데영프라자,101000043,2142
신세계앞,101000045,2144
남대문시장.회현역,101000046,2145
남대문시장.회현역,101000047,2146
남산3호터널,101000048,2147
남산3호터널.서울애니메이션센터,101000049,2148
명동입구,101000050,2149
퇴계로2가.명동역,101000051,2150
퇴계로3가.한옥마을.한국의집,101000052,2151
퇴계로3가.한옥마을.한국의집,101000053,2152
충무로역2번출구.대한극장앞,101000054,2153
충무로역8번출구.대한극장앞,101000055,2154
초동,101000056,2155
을지로입구.로얄호텔,101000057,2156
을지로입구.시청입구,101000058,2157
을지로2가.기업은행본점.서울노동청,101000059,2158
을지로2가.파인에비뉴,101000060,2159
을지로3가,101000061,2160
을지로3가,101000062,2161
을지로4가,101000063,2162
을지로4가.베스트웨스턴국도,101000064,2163
중구청앞.덕수중학교,101000065,2164
을지로5가,101000066,2165
을지로5가.중부시장,101000067,2166
방산시장.훈련원종합체육관,101000068,2167
을지로5가.훈련원종합체육관,101000069,2168
을지로6가.국립중앙의료원,101000070,2169
광희동,101000071,2170
광희동,101000072,2171
을지로6가.국립중앙의료원,101000073,2172
동대문역사문화공원,101000074,2173
동대문역사문화공원,101000075,2174
충무아트센터.스포츠센터.중부소방서,101000077,2177
충무아트센터.스포츠센터.중부소방서,101000078,2178
성동공업고등학교(무궁화회관),101000079,2179
성동공업고등학교앞,101000080,2180
신당역.중앙시장앞,101000081,2181
신당역.중앙시장앞,101000082,2182
성동고등학교,101000083,2183
성동고등학교,101000084,2184
신당동떡볶이타운.중구여성플라자,101000085,2187
신당동떡볶이타운.중구여성플라자,101000086,2188
신당동.청구역,101000087,2189
신당동.청구역,101000088,2190
약수역2번출구.가온도서관,101000089,2191
약수역3번출구.약수하이츠,101000090,2192
약수역4번출구.금호터널입구,101000091,2193
약수역5번출구.금호터널입구,101000092,2194
약수역8번출구.신당사회복지관,101000093,2195
약수역7번출구.약수동주민센터,101000094,2196
송도병원앞,101000095,2197
송도병원앞,101000096,2198
장충체육관앞,101000097,2201
장충체육관앞,101000098,2202
장충동.동국대입구,101000099,2203
장충동.동국대입구,101000100,2204
퇴계로6가,101000101,2205
퇴계로6가,101000102,2206
퇴계로5가,101000103,2207
퇴계로5가,101000104,2208
국립극장.반얀트리호텔,101000105,2209
국립극장.반얀트리호텔,101000106,2210
청구역,101000107,2211
청구역,101000108,2212
동화동,101000109,2213
동화동,101000110,2214
백범광장,101000111,2215
남대문경찰서,101000113,2218
남대문시장앞.이회영활동터,101000114,2219
동대입구역.장충동,101000117,2222
청계1가.광교,101000119,2224
청계2가.삼일교,101000120,2225
청계4가.배오개다리,101000121,2226
청계5가.방산시장,101000122,2227
청계6가.평화시장,101000123,2228
청계7가.동평화.청평화시장,101000124,2229
청계8가.영도교,101000125,2230
신한은행본점,101000128,2233
동대문역사문화공원,101000130,2235
버티고개,101000131,2236
버티고개,101000132,2237
청계3가.세운교,101000135,2240
청계6가.오간수교,101000136,2241
충무로역.매일경제,101000137,2242
을지로입구역.광교,101000141,2246
신당파인힐하나유보라,101000147,2252
명동입구,101000148,2253
남산북측순환로입구,101000149,2254
신당동삼성아파트.금호여중,101000150,2255
신당동대우푸르지오.금호여중,101000151,2256
황학동주민센터,101000152,2257
신당초등학교앞,101000153,2258
금호베스트빌.래미안하이베르,101000154,2259
금호베스트빌.래미안하이베르,101000155,2260
신당초등학교,101000156,2261
서대문경찰서.농협은행.유관순활동터,101000157,2262
방산종합시장,101000163,2272
황학동롯데캐슬,101000164,2273
광희문.광희동사거리,101000165,2274
광희문.광희동사거리,101000166,2275
황학동롯데캐슬,101000168,2277
남대문시장,101000173,2605
서울역,101000230,2665
명동역.세종호텔,101000234,2669
충무로역.호텔피제이,101000244,2679
남대문시장,101000245,2680
이비스엠버서더호텔,101000246,2681
신성시장앞,101000252,5118
한국은행.신세계앞,101000254,2278
토요코인호텔.이비스버젯호텔,101000255,2688
을지로코업레지던스,101000256,2687
아카시아호텔.웨스턴코업레지던스,101000257,2686
서울기동대.광희초등학교,101000258,2279
동대문디자인플라자,101000261,2280
서대문역사거리.농협중앙회,101000262,2281
서울스퀘어앞,101000263,2282
힐튼호텔,101000265,2285
힐튼호텔,101000266,2284
숭례문라마다&스위트호텔,101000268,2695
서울역,101000269,2694
남산밀레니엄힐튼호텔,101000270,2693
약수역,101000271,2692
동국대입구앰배서더호텔,101000273,2652
광화문코리아나호텔,101000275,2643
서소문KAL빌딩,101000276,2649
을지로입구역롯데호텔,101000277,2639
시청역더플라자호텔,101000279,2699
동대문역사문화공원,101000289,2709
시청앞.덕수궁,101000290,2286
장충문화체육센터.권기옥활동터,101000293,2288
약수역1번출구,101000294,2199
약수역10번출구,101000295,2223
동대문디자인플라자DDP,101000296,2711
광희동더스프라지르서울동대문,101000297,2710
소공동웨스틴조선호텔,101000298,2640
베이튼호텔,101000299,2712
장충동써미트호텔,101000300,2111
서울광장,101000301,2641
서대문역사거리,101000304,13047
서대문역사거리,101000305,1006
동대문디자인프라자,101000308,2920
방산.중부시장,101000309,2921
을지로3가,101000310,2922
을지로입구,101000311,2923
명동입구,101000312,2925
종각역,101000313,1912
신당동중앙시장,101000314,2926
남산오르미,101000315,2927
광화문,101000316,2901
덕수궁,101000317,2902
남대문시장,101000318,2903
명동,101000319,2904
남산골한옥마을,101000320,2905
앰버서더호텔,101000321,2906
신라호텔,101000322,2907
남산서울타워,101000323,3904
동대문디자인플라자.동대문시장,101000324,2908
서울애니메이션센터,101000325,2909
남산케이블카,101000326,2919
힐튼호텔,101000327,3906
남산1호터널,101000328,2289
남산예장버스환승주차장,101000331,2291
응봉근린공원.금호산,101900001,2518
한국경제신문사,101900003,2516
염천교,101900004,2513
신당역하나은행,101900005,2510
프레스센터,101900006,2507
숭례문앞,101900007,2506
조선일보,101900009,2502
약수역.3.6호선,101900010,2501
시청역,101900011,2503
서울역,101900012,2505
서울역서부,101900013,2515
중림동입구.서소문성지역사박물관,101900017,2514
약수지구대,101900018,2524
약수시장.남산타운동문,101900019,2523
중구청소년센터.남산타운2상가,101900020,2522
중구청소년센터.남산타운2상가,101900021,2521
서울방송고등학교.남산타운아파트,101900022,2520
서울방송고등학교.남산타운아파트,101900023,2519
아현실버복지관,101900026,14540
아현1동경로당,101900027,14700
한강대교북단.LG유플러스,102000001,3001
한강대교북단.LG유플러스,102000002,3002
신용산역,102000003,3003
신용산역,102000004,3004
용산우체국,102000005,3005
용산우체국,102000006,3006
삼각지역,102000007,3007
삼각지역,102000008,3008
숙대입구역,102000009,3009
숙대입구역,102000010,3010
갈월동,102000011,3011
갈월동,102000012,3012
남영역,102000018,3110
남영역,102000019,3111
신용산역3번출구,102000026,3119
한강대교북단,102000029,3122
서계동,102000030,3124
서계동,102000031,3125
청파동,102000032,3126
청파시장,102000033,3127
숙대입구역.청파동주민센터,102000034,3128
숙대입구역.청파동주민센터,102000035,3129
남영역,102000036,3130
남영역,102000037,3131
용산전자상가17동,102000038,3132
용산전자상가19동,102000039,3133
용산전자상가10동,102000040,3134
용산전자상가12동,102000041,3135
용산전자상가.전자랜드,102000042,3136
용산전자상가.전자랜드,102000043,3137
원효대교북단,102000044,3138
용산경찰서,102000045,3139
용산경찰서,102000046,3140
용산꿈나무종합타운.원효로우체국,102000047,3141
용산e편한세상,102000048,3142
남정초등학교,102000049,3143
원효로2가,102000050,3144
원효로2가사거리,102000051,3145
원효로3가,102000052,3146
원효로3가,102000053,3147
용암초등학교입구.이태원주공아파트,102000054,3148
이태원동남산대림아파트.용산동아파트,102000055,3149
용산한신아파트,102000056,3150
해방촌,102000057,3151
국군재정관리단,102000058,3152
용산구청.크라운호텔,102000059,3153
용산구청.크라운호텔,102000060,3154
한강중학교,102000061,3155
한강중학교앞,102000062,3156
서빙고역1번출구,102000063,3157
장충단로입구,102000064,3158
남산예술원,102000065,3159
서울중부기술교육원.블루스퀘어,102000066,3160
서울시중부기술교육원.블루스퀘어,102000067,3161
순천향대학병원,102000068,3162
순천향대학병원,102000069,3163
순천향대학병원,102000070,3164
순천향대학병원.한남오거리,102000071,3165
한남5거리,102000072,3166
남산도서관.용산도서관,102000073,3167
남산도서관.용산도서관,102000074,3168
후암약수터,102000075,3169
후암약수터,102000076,3170
보성여중고입구,102000077,3171
보성여중고입구,102000078,3172
남산체육관,102000079,3173
남산체육관,102000080,3174
하얏트호텔,102000081,3175
하얏트호텔,102000082,3176
용마루고개(서울자동차고등학교),102000083,3177
용마루고개.효창파크푸르지오아파트,102000084,3178
효창공원앞역.이봉창역사울림관,102000085,3179
효창공원앞역.이봉창역사울림관,102000086,3180
용산꿈나무종합타운.보건분소,102000087,3181
용산꿈나무종합타운.보건분소,102000088,3182
원효로제1동주민센터,102000089,3183
전쟁기념관,102000090,3184
전쟁기념관,102000091,3185
녹사평역,102000092,3186
녹사평역,102000093,3187
용산구청.이태원시장,102000094,3188
용산구청.이태원시장,102000095,3189
이태원역1번출구.해밀턴호텔,102000096,3190
이태원역4번출구.해밀턴호텔,102000097,3191
이태원119안전센터,102000098,3192
이태원119안전센터,102000099,3193
한남동새마을금고,102000100,3194
한남동주민센터,102000101,3195
한강진역.블루스퀘어,102000102,3196
한강진역.블루스퀘어,102000103,3197
서울역,102000104,3198
후암3거리,102000105,3199
후암시장,102000106,3200
후암시장,102000107,3201
용산중고,102000108,3202
용산중고,102000109,3203
후암동종점,102000110,3204
용산중고,102000111,3205
남영동주민센터,102000112,3206
남영동주민센터,102000113,3207
남영우체국,102000114,3208
남영우체국,102000115,3209
한남시범아파트,102000116,3210
한남시범아파트,102000117,3211
한남동,102000118,3212
한남동,102000119,3213
이촌동동부센트레빌,102000120,3214
이촌동두산위브트레지움.한강대우아파트,102000121,3215
이촌1동충신교회앞,102000122,3216
이촌동한가람아파트.이촌역,102000123,3217
이촌동한강맨션.이촌역,102000124,3218
신용산초등학교,102000125,3219
신용산초등학교,102000126,3220
이촌동강촌아파트,102000127,3221
이촌동점보아파트,102000128,3222
이촌동현대아파트,102000129,3223
금강병원.반도아파트,102000130,3224
서빙고신동아아파트,102000131,3225
서빙고신동아아파트,102000132,3226
만리동고개,102000133,3227
손기정체육공원,102000134,3228
숙대입구역,102000135,3229
남영역,102000136,3230
숙명여대도서관앞,102000137,3231
숙명여대도서관앞,102000138,3232
숙명여대정문,102000139,3233
숙명여대정문,102000140,3234
숙명여대후문.이봉창활동터,102000141,3235
효창공원후문,102000142,3236
한겨레신문사입구,102000143,3237
대한노인회,102000144,3238
효창운동장.효창동주민센터,102000145,3239
국민은행효창동지점,102000146,3240
서울금양초등학교.국민은행효창동지점,102000147,3241
효창공원역,102000148,3242
도원삼성래미안아파트,102000149,3243
도원삼성래미안아파트,102000150,3244
중앙하이츠빌라앞,102000151,3245
중앙하이츠빌라앞,102000152,3246
용문시장,102000153,3247
용문시장,102000154,3248
용산전자상가입구,102000155,3249
용산전자상가입구,102000156,3250
신용산.지하차도,102000157,3251
신용산.지하차도,102000158,3252
신용산역,102000159,3253
용산역,102000161,3255
용산푸르지오써밋,102000162,3256
용산푸르지오써밋,102000163,3257
용산역광장앞,102000164,3258
용산역사박물관.용산철도고등학교,102000165,3259
용산역사박물관.용산철도고등학교,102000166,3260
용산세무서,102000167,3261
용산세무서,102000168,3262
이촌역,102000169,3263
이촌역,102000170,3264
국립중앙박물관용산가족공원,102000171,3265
국립중앙박물관용산가족공원,102000172,3266
서빙고역교차로,102000173,3267
서빙고초등학교,102000174,3268
한강중학교,102000175,3269
금호베스트빌앞,102000176,3270
서빙고동,102000178,3272
서빙고동주민센터,102000179,3273
동빙고동,102000180,3274
동빙고동,102000181,3275
보광신동아아파트삼성리버빌아파트,102000182,3276
보광동신동아아파트,102000183,3277
보광동주민센터,102000184,3278
기업은행보광동지점,102000185,3279
기업은행보광동지점,102000186,3280
한국폴리텍1대학,102000187,3281
한국폴리텍1대학,102000188,3282
이태원역.보광동입구,102000189,3283
이태원역.보광동입구,102000190,3284
한남역.용산노인종합복지관,102000191,3285
한남역.용산노인종합복지관,102000192,3286
이촌119안전센터.성촌공원,102000193,3287
성촌공원.포르쉐센터용산,102000194,3288
성촌공원.포르쉐센터용산,102000195,3289
이촌2동주민센터,102000196,3290
이촌2동주민센터,102000197,3291
이촌2동대림아파트.새남터성지,102000198,3292
이촌2동대림아파트.새남터성지,102000199,3293
서부이촌동입구,102000200,3294
이촌2동강변아파트,102000201,3295
원효2동산호아파트후문,102000202,3296
청암동강변삼성아파트,102000203,3297
청암동강변삼성아파트,102000204,3298
원효2동산호아파트,102000205,3299
원효2동산호아파트,102000206,3300
원효로풍전아파트,102000207,3301
원효로풍전아파트,102000208,3302
원효풍전아파트,102000209,3303
원효2동주민센터,102000210,3304
산천동리버힐삼성아파트,102000211,3305
산천동,102000212,3306
산천동,102000213,3307
신창동세방아파트,102000214,3308
신창동세방아파트,102000215,3309
남이장군사당,102000216,3310
남이장군사당,102000217,3311
새마을금고,102000218,3312
새마을금고,102000219,3313
순천향병원입구,102000225,3319
남산서울타워,102000226,3320
청심경로당,102000227,3321
삼성테마트,102000228,3322
서빙고동금호베스트빌,102000229,3323
한남동하이페리온,102000230,3324
서빙고역1번출구,102000231,3325
문배동이안아파트앞,102000232,3326
갈월동4호선숙대입구,102000233,3327
삼각지역11번출구,102000234,3328
숙대입구,102000236,3330
원효대교북단,102000237,3331
문배동이안아파트앞,102000238,3332
순천향병원입구,102000240,3334
숙명여대입구,102000241,3335
서빙고초등학교,102000243,3336
한강대교전망카페,102000245,3338
한강대교전망카페,102000246,3339
노들섬,102000247,3340
노들섬,102000248,3341
용암초등학교.이태원2동주민센터,102000249,3342
용암초등학교.이태원2동주민센터,102000250,3343
용마루고개.브라운스톤공덕아파트,102000254,14336
동부이촌동,102000255,3730
강촌APT,102000256,3729
신동아APT,102000257,3728
강촌APT,102000262,3649
동부이촌동,102000263,3648
효창공원삼거리.윤봉길의사등묘역,102000266,3344
청암자이아파트,102000271,3689
남산그랜드하얏트호텔,102000272,3680
신동아APT,102000273,3710
이촌동두산위브트레지움,102000274,3732
이촌동두산위브트레지움,102000275,3733
이촌현대아파트.금강병원,102000276,3734
이촌현대아파트.금강병원,102000277,3735
한남역,102000278,3736
이집트대사관.한남더힐아파트,102000281,3749
이집트대사관.한남더힐아파트,102000282,3748
한남역,102000283,3750
한남동,102000284,3752
한남동,102000285,3751
서울역공항철도15번출구.국립극단,102000286,3345
용산꿈나무종합타운,102000297,3346
전쟁기념관,102000310,3900
용산역,102000311,3901
국립중앙박물관,102000312,3902
이태원,102000313,3903
하얏트호텔,102000314,3905
